CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
04/19/2019,9:13:00 PM,1A,200 N BROADWAY,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Dunbar-Broadway,-76.59416,39.29405,PARKING LOT,1
04/17/2019,9:38:00 AM,1A,2100 MOUNT HOLLY ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Mount Holly,-76.68192,39.3113,ALLEY,1
04/16/2019,11:00:00 PM,1A,3000 OAKLEY AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Park Heights,-76.67045,39.34785,STREET,1
04/15/2019,7:28:00 PM,1A,3100 W BELVEDERE AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Park Heights,-76.67475,39.34957,STREET,1
04/14/2019,2:43:00 PM,1A,5800 HALWYN AV,HOMICIDE,Inside,FIREARM,NORTHERN,Belvedere,-76.60871,39.36094,DWELLING,1
04/11/2019,3:40:00 PM,1A,2200 RUSKIN AV,HOMICIDE,Outside,FIREARM,WESTERN,Parkview/Woodbrook,-76.64776,39.31508,STREET,1
04/10/2019,11:04:00 PM,1A,1800 N CHESTER ST,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.58863,39.31095,STREET,1
04/10/2019,11:04:00 PM,1A,1800 N CHESTER ST,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.58863,39.31095,STREET,1
04/10/2019,10:33:00 PM,1A,400 S BENTALOU ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Millhill,-76.65261,39.2829,DWELLING,1
04/09/2019,8:58:00 PM,1A,1400 Barnes St,HOMICIDE,Outside,FIREARM,EASTERN,Gay Street,-76.59867,39.30123,STREET,1
04/02/2019,2:31:00 AM,1A,100 W FAYETTE ST,HOMICIDE,Outside,FIREARM,CENTRAL,Downtown,-76.61682,39.29049,STREET,1
03/30/2019,2:31:00 AM,1A,400 N BOULDIN ST,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Ellwood Park/Monument,-76.57135,39.29611,STREET,1
03/28/2019,11:28:00 PM,1A,1400 MONTPELIER ST,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Coldstream Homestead Mont,-76.59974,39.32266,ALLEY,1
03/28/2019,1:30:00 PM,1A,900 W FRANKLIN ST,HOMICIDE,Outside,FIREARM,WESTERN,Harlem Park,-76.63206,39.29447,STREET,1
03/27/2019,2:38:00 PM,1A,4600 WALLINGTON AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Dolfield,-76.68286,39.33881,STREET,1
03/26/2019,11:00:00 AM,1A,800 N BELNORD AV,HOMICIDE,Outside,FIREARM,EASTERN,Madison-Eastend,-76.5789,39.3004,VEHICLE,1
